playerName,team,rating,region,playerCategory,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,agents,agent
Kouf,AMB,1.53,Americas,vct-challengers,298.0,1.48,74%,185.9,1.03,0.36,0.13,0.03,35%,15%,"reyna, kayo",reyna
Kouf,AMB,1.53,Americas,vct-challengers,298.0,1.48,74%,185.9,1.03,0.36,0.13,0.03,35%,15%,"reyna, kayo",kayo
nelu,63,1.31,Americas,vct-challengers,266.7,1.15,75%,182.0,0.86,0.4,0.06,0.06,30%,21%,"viper, sova, breach",viper
nelu,63,1.31,Americas,vct-challengers,266.7,1.15,75%,182.0,0.86,0.4,0.06,0.06,30%,21%,"viper, sova, breach",sova
nelu,63,1.31,Americas,vct-challengers,266.7,1.15,75%,182.0,0.86,0.4,0.06,0.06,30%,21%,"viper, sova, breach",breach
welyy,Blue,1.31,Americas,vct-challengers,240.9,1.26,74%,164.1,0.82,0.39,0.07,0.04,27%,10%,"sova, fade, breach",sova
welyy,Blue,1.31,Americas,vct-challengers,240.9,1.26,74%,164.1,0.82,0.39,0.07,0.04,27%,10%,"sova, fade, breach",fade
welyy,Blue,1.31,Americas,vct-challengers,240.9,1.26,74%,164.1,0.82,0.39,0.07,0.04,27%,10%,"sova, fade, breach",breach
ShoT_UP,TOR,1.29,Americas,vct-challengers,240.2,1.25,78%,158.6,0.82,0.4,0.06,0.06,25%,25%,"skye, astra, killjoy",skye
ShoT_UP,TOR,1.29,Americas,vct-challengers,240.2,1.25,78%,158.6,0.82,0.4,0.06,0.06,25%,25%,"skye, astra, killjoy",astra
ShoT_UP,TOR,1.29,Americas,vct-challengers,240.2,1.25,78%,158.6,0.82,0.4,0.06,0.06,25%,25%,"skye, astra, killjoy",killjoy
mada,NRG,1.26,Americas,vct-challengers,268.8,1.34,76%,172.9,0.93,0.19,0.24,0.13,26%,11%,"raze, jett, reyna",raze
mada,NRG,1.26,Americas,vct-challengers,268.8,1.34,76%,172.9,0.93,0.19,0.24,0.13,26%,11%,"raze, jett, reyna",jett
mada,NRG,1.26,Americas,vct-challengers,268.8,1.34,76%,172.9,0.93,0.19,0.24,0.13,26%,11%,"raze, jett, reyna",reyna
